name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Aitor Paredes,Paredes,ES,Athletic Club,Defender,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Berenguer Remiro,Berenguer,ES,Athletic Club,Forward,27,34,2172,3,6,1,0,2,1,0,0,0,0,2054,1532,522,38,33,5,34,19,26,8,0
Alex Petxarroman,Petxarroman,ES,Athletic Club,Defender,25,17,401,0,0,0,0,0,0,0,0,0,0,585,468,117,6,3,0,1,3,9,4,0
Ander Capa,Capa,ES,Athletic Club,Defender,30,1,3,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,1,0,0,0,0
Ander Iruarrizaga,Iru,ES,Athletic Club,Goalkeeper,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asier Villalibre,Villalibre,ES,Athletic Club,Forward,25,19,538,2,0,0,1,1,0,0,0,0,0,294,206,88,1,4,0,14,1,3,0,0
Daniel GarcÃ­a Carrillo,Dani GarcÃ­a,ES,Athletic Club,Midfielder,32,32,2190,0,0,0,0,0,0,0,0,0,0,2843,2390,453,2,4,3,8,14,22,9,0
Daniel Vivian,Vivian,ES,Athletic Club,Defender,23,24,1985,2,1,2,0,0,0,0,0,0,0,2626,2307,319,1,4,7,15,11,21,2,0
Iker Muniain,Muniain,ES,Athletic Club,Forward,29,35,2802,4,10,0,0,4,3,1,0,0,0,3971,3433,538,39,65,6,31,22,10,3,0
IÃ±aki Williams,Williams,ES,Athletic Club,Forward,28,38,2786,8,5,0,1,7,1,1,0,0,0,1658,1224,434,28,28,5,69,9,5,4,0
Jokin Ezkieta,Jokin Ezkieta,ES,Athletic Club,Goalkeeper,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Artola,Artola,ES,Athletic Club,Forward,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julen Agirrezabala,Agirrezabala,ES,Athletic Club,Goalkeeper,21,4,360,0,0,0,0,0,0,0,0,0,15,162,122,40,0,0,1,0,0,0,0,0
Luis Bilbao,Luis Bilbao,ES,Athletic Club,Forward,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikel Balenziaga,Balenziaga,ES,Athletic Club,Defender,34,26,2026,0,0,0,0,0,0,0,0,0,0,2150,1764,386,6,6,8,5,9,24,2,0
Mikel Vesga,Vesga,ES,Athletic Club,Midfielder,29,32,1355,2,0,1,1,0,0,0,0,0,0,1962,1639,323,6,9,1,11,13,14,4,1
Nicholas Williams,Williams Jr,ES,Athletic Club,Forward,20,34,1325,0,0,0,0,0,0,0,0,0,0,1137,916,221,46,44,0,20,10,10,4,0
NicolÃ¡s Serrano,Nico Serrano,ES,Athletic Club,Forward,19,14,308,1,0,0,1,0,0,0,0,0,0,306,242,64,3,4,0,6,3,6,0,0
Oier Zarraga,Zarraga,ES,Athletic Club,Midfielder,23,31,1151,1,0,0,0,1,1,1,0,0,0,1329,1124,205,4,4,0,13,8,5,5,0
Oihan Sancet,O. Sancet,ES,Athletic Club,Midfielder,22,27,1424,6,4,1,0,5,0,0,0,0,0,1214,1017,197,14,23,0,24,5,7,2,0
